,B-EXAM,B-BODY,B-DISE,I-DISE,B-SYMP,B-TREAT,B-CHEM,I-CHEM,I-SYMP,B-TIME,B-SUPP,I-BODY,I-TREAT,B-INST,B-DRUG,I-DRUG,I-TIME,I-INST,I-SUPP,I-EXAM,O
B-EXAM,91,34,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77
B-BODY,3,3806,52,11,23,0,21,0,1,1,0,138,0,1,0,0,1,0,0,1,1256
B-DISE,0,139,1764,34,65,0,10,0,0,0,4,2,0,0,0,0,0,0,0,0,591
I-DISE,0,32,108,5510,63,0,4,41,154,2,0,271,0,0,0,0,2,0,14,0,1370
B-SYMP,0,92,35,15,1034,0,5,0,26,1,0,5,0,0,0,0,0,0,0,0,731
B-TREAT,0,60,2,0,1,223,8,0,0,0,0,0,2,2,4,0,0,0,0,0,166
B-CHEM,1,67,16,1,0,0,935,29,0,0,16,3,0,0,17,2,0,0,3,0,628
I-CHEM,0,13,3,27,2,0,99,2376,1,0,1,124,0,0,0,46,0,0,47,0,1112
I-SYMP,0,7,3,96,99,0,2,12,1284,1,0,129,0,0,0,0,2,0,0,0,1243
B-TIME,0,2,3,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,123
B-SUPP,0,0,0,0,0,0,16,0,0,0,121,0,0,0,1,0,0,0,0,0,45
I-BODY,0,288,0,107,3,0,1,28,24,0,0,5948,0,0,0,0,1,2,0,6,1846
I-TREAT,1,4,1,4,1,39,0,22,2,0,0,77,613,0,0,12,0,4,0,2,469
B-INST,10,39,2,0,5,3,3,0,0,0,0,0,0,23,1,0,0,0,0,0,164
B-DRUG,1,16,12,0,1,3,35,0,0,0,3,0,0,0,219,7,0,0,0,0,184
I-DRUG,0,3,1,27,1,0,11,122,2,0,1,32,5,0,10,850,0,0,9,2,523
I-TIME,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,109,0,0,0,288
I-INST,0,15,0,5,2,1,3,8,8,0,0,72,7,2,0,2,0,53,0,21,430
I-SUPP,0,0,0,0,0,0,1,47,0,0,4,0,0,0,0,2,0,0,373,0,124
I-EXAM,30,1,0,4,0,1,1,6,0,0,0,43,2,0,0,0,0,0,0,336,309
O,16,288,67,156,36,6,28,86,35,2,10,357,26,0,18,27,6,1,26,24,75804
